Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del plazo fijo;Nombre corto del plazo fijo;Denominación;Monto mínimo a invertir;Plazo mínimo a invertir;Canal de constitución;Tasa efectiva anual mínima;Territorio de validez de la oferta;Más información
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO PRECANCELABLE EN UNIDADES DE VALOR ADQUISITIVO UVA;UVA PRECANCELABLE;UVA;1500;90 días;Ventanilla de sucursal;,50;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO CON CANCELACION ANTICIPADA CERTIFICADO PRECANCELABLE;PRECANCELABLE;Pesos;5000;180 días;Electrónico;15,57;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL;TRADICIONAL;Pesos;1500;30 días;Ventanilla de sucursal;16,65;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL ELECTRONICO;TRADICIONAL ELECTRONICO;Pesos;500;30 días;Electrónico;20,75;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL;TRADICIONAL;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;,75;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO PRECANCELABLE EN UNIDADES DE VALOR ADQUISITIVO UVA;UVA PRECANCELABLE;UVA;1500;90 días;Electrónico;,50;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL;TRADICIONAL;Pesos;1500;90 días;Ventanilla de sucursal;17,55;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL ELECTRONICO;TRADICIONAL ELECTRONICO;Pesos;500;90 días;Electrónico;20,98;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;2026-06-30;PLAZO FIJO TRADICIONAL ELECTRONICO;TRADICIONAL ELECTRONICO;Dólares estadounidenses;100;30 días;Electrónico;1,61;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN DOLARES;PF.INT.PERS.FISICA.S.PRIV;Dólares estadounidenses;100;30 días;Home banking;1,26;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Cajero automático;20,98;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN UVA PRECANCELABLE;PF UVA INT CANC.ANTICIP.;UVA;1000;90 días;Ventanilla de sucursal;1,00;Provincia de Buenos Aires;PERSONAS HUMANAS - PLAZO FIJO DE UNIDADES DE VALOR ADQUISITIVO ACTUALIZABLES POR CER  LEY 25827 UVA
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN DOLARES;PF.INT.PERS.FISICA.S.PRIV;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,26;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Ventanilla de sucursal;20,98;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Home banking;22,14;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Home banking;22,14;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Ventanilla de sucursal;20,15;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Home banking;21,34;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN UVA PRECANCELABLE;PF DIGITAL UVA-CANC. ANT;UVA;1000;90 días;Home banking;1,00;Provincia de Buenos Aires;PERSONAS HUMANAS - PLAZO FIJO DE UNIDADES DE VALOR ADQUISITIVO ACTUALIZABLES POR CER  LEY 25827 UVA
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Cajero automático;20,98;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN DOLARES;PF.INT.PERS.FISICA.S.PRIV;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,26;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN UVA PRECANCELABLE;PF UVA INT CANC.ANTICIP.;UVA;1000;90 días;Ventanilla de sucursal;1,00;Ciudad Autónoma de Buenos Aires;PERSONAS HUMANAS - PLAZO FIJO DE UNIDADES DE VALOR ADQUISITIVO ACTUALIZABLES POR CER  LEY 25827 UVA
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Cajero automático;20,15;Provincia de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Cajero automático;20,15;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Ventanilla de sucursal;20,15;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;90 días;Ventanilla de sucursal;20,98;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN DOLARES;PF.INT.PERS.FISICA.S.PRIV;Dólares estadounidenses;100;30 días;Home banking;1,26;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF.INT.PERS.FISICA.S.PRIV;Pesos;1000;30 días;Home banking;21,34;Ciudad Autónoma de Buenos Aires;TASA PARA SECTOR PRIVADO
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-06-30;PLAZO FIJO INTRANSFERIBLE EN UVA PRECANCELABLE;PF DIGITAL UVA-CANC. ANT;UVA;1000;90 días;Home banking;1,00;Ciudad Autónoma de Buenos Aires;PERSONAS HUMANAS - PLAZO FIJO DE UNIDADES DE VALOR ADQUISITIVO ACTUALIZABLES POR CER  LEY 25827 UVA
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PFUVA;UVA;1000;;Todos los canales;,01;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PF UVA;UVA;1000;360 días o más;Todos los canales;1,00;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Todos los canales;18,74;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Todos los canales;18,74;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PF UVA;UVA;1000;180 días;Todos los canales;,01;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PF UVA;UVA;1000;180 días;Todos los canales;,01;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Todos los canales;19,43;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PFUVA;UVA;1000;;Todos los canales;,01;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO UVA;PF UVA;UVA;1000;360 días o más;Todos los canales;1,00;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;60 días;Todos los canales;18,95;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;60 días;Todos los canales;18,95;Todo el territorio nacional;
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-07-03;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Todos los canales;19,43;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;30 días;Ventanilla de sucursal;19,86;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;90 días;Ventanilla de sucursal;20,23;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;90 días;Electrónico;20,23;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;30 días;Home banking;19,86;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN UVAS;PF INTRANS. UVA;UVA;1000;180 días;Home banking;,50;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;30 días;Línea telefónica;19,86;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;90 días;Línea telefónica;20,23;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;30 días;Electrónico;19,86;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN PESOS;PF INTRANS. PESOS;Pesos;1000;90 días;Home banking;20,23;Todo el territorio nacional;
17;BANCO BBVA ARGENTINA S.A.;2026-07-08;PLAZO FIJO INTRANSFERIBLE EN UVAS;PF INTRANS. UVA;UVA;1000;180 días;Ventanilla de sucursal;,50;Todo el territorio nacional;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Cajero automático;22,84;Provincia de Córdoba;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE PRECANCELABLE DE UNIDADES DE VALOR ADQUISITIVO UVA;PF INTRANSF. PRECANC. DE;UVA;1000;180 días;Home banking;1,00;Provincia de Santa Fe;SE INFORMA TEA AL  08/06/2018
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE PRECANCELABLE DE UNIDADES DE VALOR ADQUISITIVO UVA;PF INTRANSF. PRECANC. DE;UVA;1000;180 días;Home banking;1,00;Provincia de Córdoba;SE INFORMA TEA AL  08/06/2018
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Home banking;22,84;Provincia de Santa Fe;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Cajero automático;22,84;Provincia de Santa Fe;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL DOLAR SUCURSAL;PF TRADIC. DOLAR SUCURSAL;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,56;Provincia de Córdoba;SE INFORMA TEA AL 22/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE PRECANCELABLE DE UNIDADES DE VALOR ADQUISITIVO UVA;PF INTRANSF. PRECANC. DE;UVA;1000;180 días;Home banking;1,00;Todo el territorio nacional;SE INFORMA TEA AL  08/06/2018
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Cajero automático;23,01;Provincia de Santa Fe;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL DOLAR ATM Y HB;PF TRADIC. DOLAR ATM Y HB;Dólares estadounidenses;100;30 días;Home banking;2,02;Todo el territorio nacional;SE INFORMA TEA AL 22/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Cajero automático;22,84;Todo el territorio nacional;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Cajero automático;23,01;Todo el territorio nacional;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Home banking;22,84;Todo el territorio nacional;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Home banking;23,01;Todo el territorio nacional;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Home banking;23,01;Provincia de Córdoba;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Home banking;23,01;Provincia de Santa Fe;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;30 días;Home banking;22,84;Provincia de Córdoba;SE INFORMA TEA AL 21/04/2026
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-22;PLAZO FIJO INTRANSFERIBLE TRADICIONAL PESOS ATM Y HB;PF TRADIC. PESOS ATM Y HB;Pesos;1000;90 días;Cajero automático;23,01;Provincia de Córdoba;SE INFORMA TEA AL 21/04/2026
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,76;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO UVA INTRANSFERIBLE TRADICIONAL;PF UVA TRADICIONAL;UVA;3000;90 días;Home banking;,10;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO UVA INTRANSFERIBLE TRADICIONAL;PF UVA TRADICIONAL;UVA;3000;90 días;Home banking;,00;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL TRANSFERIBLE;PF TRANSFERIBLE;Euros;1000;30 días;Ventanilla de sucursal;,10;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Pesos;100;30 días;Ventanilla de sucursal;16,36;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Pesos;100;90 días;Home banking;20,69;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL TRANSFERIBLE;PF TRANSFERIBLE;Pesos;100;30 días;Ventanilla de sucursal;16,36;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Dólares estadounidenses;100;30 días;Home banking;1,76;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO UVA INTRANSFERIBLE PRECANCELABLE;PF UVA PRECA;UVA;3000;180 días;Ventanilla de sucursal;,10;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Pesos;100;90 días;Ventanilla de sucursal;20,69;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL TRANSFERIBLE;PF TRANSFERIBLE;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;1,76;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Euros;1000;30 días;Ventanilla de sucursal;,10;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO UVA INTRANSFERIBLE PRECANCELABLE;PF UVA PRECA;UVA;3000;180 días;Home banking;,10;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Pesos;100;30 días;Home banking;20,15;Todo el territorio nacional;
27;BANCO SUPERVIELLE S.A.;2026-07-02;PLAZO FIJO TRADICIONAL INTRANSFERIBLE;PF INTRANSFERIBLE;Euros;1000;30 días;Home banking;,10;Todo el territorio nacional;
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Provincia de Salta;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Ciudad Autónoma de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Provincia de Córdoba;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Provincia de Mendoza;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Provincia de Mendoza;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Provincia de Mendoza;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Ciudad Autónoma de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Provincia de Salta;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Provincia de Mendoza;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Provincia de Tucumán;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Provincia de Salta;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Ciudad Autónoma de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Provincia de Tucumán;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Provincia de Tucumán;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Provincia de Tucumán;0
